run_name,run_signature,requested_group,canonical_group,object,seed,model,model_revision,input_size,total_steps,batch_size,learning_rate,weight_decay,train_total,train_real,train_synthetic,sampled_real_good,sampled_real_bad,sampled_synthetic_bad,test_total,test_good,test_bad,macro_f1,anomaly_f1,auroc,normal_false_positive_rate,peak_vram_gib,training_seconds,data_manifest_sha256,split_manifest_sha256,selection_sha256
m16_real_only_pcb1_seed_42,810b7504022cb6d46d7cf29df634fa98d1b03c1eddb914ce38b4ff3e5c04df6f,real_only,real_only,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,612,612,0,782,818,0,442,402,40,0.6825689955883861,0.48148148148148145,0.9085509950248756,0.2064676616915423,3.1747636795043945,31.730363099999522,2fc1754aad5b8aabf5fcfe29f70036c13fc41ce116fa05e0dd3e8a012e56480f,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_real_only_capsules_seed_42,5a8c9a3151114bef47957c5be6723f876d8ad7fb3710bc4194c17e4724733986,real_only,real_only,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,371,371,0,782,818,0,281,241,40,0.5727890766185708,0.2535211267605634,0.7933609958506225,0.0912863070539419,3.1747636795043945,30.38286059999882,2fcd4f237df99ebd8720856570c22f0a493fd2b782aa0bfd5a6e51a4a498b267,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_std_aug_pcb1_seed_42,cbd56a113fdd96f4914a6a3f9a6aabde0f43d44412db912f26a13b7dc80a5ed2,std_aug,std_aug,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,612,612,0,782,818,0,442,402,40,0.6825689955883861,0.48148148148148145,0.9156716417910448,0.2064676616915423,3.1747636795043945,43.361937199999375,ca073584f247af2940201df92abe52973eddc2aacf4fd3bff290af23c8c92842,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_std_aug_capsules_seed_42,3a06b3ec5d9324ed81d4daf68652667160d5f80a672c36a1a79bbe477f4542fd,std_aug,std_aug,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,371,371,0,782,818,0,281,241,40,0.6031073446327684,0.3333333333333333,0.7655601659751038,0.14522821576763487,3.1747636795043945,42.982065399999556,2a3ea32fc1067e089a08fc10c9d82c9eac9b6270f93719cfa42a776bf1fbe9dd,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_unfiltered_syn_pcb1_seed_42,fe465091bcffb53d5687c6894d1dc261fa7aea294a2fbfe437d92204df0129d7,unfiltered_syn,unfiltered_syn,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,1112,612,500,817,14,769,442,402,40,0.4866194273598216,0.18579234972677597,0.55556592039801,0.31343283582089554,3.1747636795043945,44.125996799997665,f0068a58397fb22e26369f911b26881d89994660aa073042ac92937a6aceaa14,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_unfiltered_syn_capsules_seed_42,087f07f25e953306e1e152434793d7a41a54ca3f1d2ee07d4bb3b120a88cd526,unfiltered_syn,unfiltered_syn,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,871,371,500,817,14,769,281,241,40,0.38387586439534493,0.03305785123966942,0.3145228215767635,0.3278008298755187,3.1747636795043945,46.091144499998336,a435b36f67161b4573c5c77a29774f735fb5f0143415e0daee4b2e9ad73ba77d,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_filtered_syn_pcb1_seed_42,04cf6356d4b74dd4b5dcf31d8b543db479224940128a90a4364362a2aacb20a9,filtered_syn,filtered_syn,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,1112,612,500,817,14,769,442,402,40,0.4269723320158103,0.016,0.2229477611940299,0.208955223880597,3.1747636795043945,44.064328399999795,975a15de08b9e28750b5b68c803adceaf9e988c7394032c976a2817ca2f603ff,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_filtered_syn_capsules_seed_42,e8eb499af9344190b44f14a169c56c6588293a7da477402c377e01b229f0363a,filtered_syn,filtered_syn,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,871,371,500,817,14,769,281,241,40,0.37116835805360393,0.044444444444444446,0.28438796680497924,0.3817427385892116,3.1747636795043945,46.32515290000083,ceb4e0e7dba7e57bcf5ce5ea03e831060f5f361114426b9e0e5a248dab503fad,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_full_real_pcb1_seed_42,37f101c94bc026097bf2afc70942e7722e21d938d784fb4e23cd5cdb35ae2758,full_real,full_real,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,662,662,0,782,818,0,442,402,40,0.6825689955883861,0.48148148148148145,0.9294154228855721,0.2064676616915423,3.1747636795043945,30.737700300000142,9c919e28f3e92810d6126525c1a1dcfd675e62b4934e7417c18a8a775137f4e9,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_full_real_capsules_seed_42,443081cf2495e5486d10d5d7c377bbc4e642f4fb20d50db3409f9a6f741aaca0,full_real,full_real,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,421,421,0,782,818,0,281,241,40,0.6748487205265854,0.48739495798319327,0.858298755186722,0.2074688796680498,3.1747636795043945,30.65793599999961,09a2fd8683b96a6602e11d6ebf19f63503111021e28cd39c2e8cb62959d8f6f8,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
