view,input_name,object,defect_type,real_scope,n_real,n_generated,status,nn_mean,nn_median,nn_p05,nn_p95,mnn_score,kid,fid
unfiltered,stageA_copypaste,capsules,type0,type:type0,9,375,ok,0.719852923614405,0.7754869806557128,0.44680636882711183,0.8492858424904162,0.7777777777777778,-0.0011475226907333713,165.19478415211555
unfiltered,stageA_copypaste,capsules,type1,type:type1,3,125,ok,0.8854833443521941,0.8964627239107406,0.7884455771388063,0.9304142147995881,0.6666666666666666,-0.011411178850011972,143.12691714502344
unfiltered,stageA_copypaste,capsules,__all__,object_all,12,500,ok,0.7632094864539338,0.8009369841963585,0.46797244054871234,0.9187996936669772,0.75,-0.005202643475465507,145.06173414036886
unfiltered,stageA_copypaste,pcb1,type0,type:type0,16,348,ok,0.688303137027323,0.7041211712858979,0.4983360100207015,0.8368175179370497,0.375,0.19019505469027198,292.40009311953173
unfiltered,stageA_copypaste,pcb1,type1,type:type1,7,152,ok,0.43442494562433404,0.45393790110494736,0.16741677746288283,0.6917892699172381,0.5714285714285714,0.06019353369759761,327.03121404460165
unfiltered,stageA_copypaste,pcb1,__all__,object_all,23,500,ok,0.630112332460599,0.6722141313845522,0.32782662731100615,0.8259404639551408,0.4782608695652174,0.10015020107017403,274.2226212912767
unfiltered,stageA_procedural,capsules,crack,object_all,12,125,ok,0.7856605245858475,0.794429464496212,0.6390013732168044,0.9104869214189817,0.3333333333333333,0.013379999256172947,167.68014273175402
unfiltered,stageA_procedural,capsules,perlin,object_all,12,125,ok,0.7051211337789796,0.7247896781550991,0.4405639618967182,0.9096245264457273,0.4166666666666667,0.005448106203567615,176.54708365768408
unfiltered,stageA_procedural,capsules,scratch,object_all,12,125,ok,0.7052367209649318,0.7431462984139121,0.44017715080686604,0.9107706649706107,0.5,0.01984716348303861,191.99117443751368
unfiltered,stageA_procedural,capsules,spot,object_all,12,125,ok,0.6984206081408332,0.7196570101865246,0.454491280240381,0.9056561660425495,0.5,0.008098764711117923,181.84184886199165
