logical_group,canonical_group,physical_run,alias_of,object,seed,run_name,run_signature,model,model_revision,input_size,total_steps,batch_size,learning_rate,weight_decay,train_total,train_real,train_synthetic,train_real_defect,train_synthetic_defect,test_total,dice,miou,pixel_auroc,aupro,peak_vram_gib,training_seconds,model_sha256,data_manifest_sha256
real_only,real_only,true,,pcb1,42,m18_real_only_pcb1_seed42,956c4042ca331cff7fdfe1f9ad9978dfb07050d7d3a3a4993d6f67dac8ccbf0b,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,612,612,0,10,0,442,0.3761873629965773,0.6156245759357658,0.9460468575559333,0.6027983441018951,1.01470947265625,192.38111733900018,74d7caaa3131668696dfc0d72f5c2775931fdd2de1fda67c2e59a8254b499843,6e7e09cc95b665a185089ce4ce84b1982b5f9db77dba4eda34b905bd0f708334
std_aug,std_aug,true,,pcb1,42,m18_std_aug_pcb1_seed42,2b7125c6767c3c04d79a500494bd6e7f4ccbe0432e00a842d87595cbf17e25ba,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,612,612,0,10,0,442,0.3835701466758423,0.6184501634339045,0.9143590594447806,0.5739876864883188,1.01470947265625,249.72002327999985,5e2f1a1f64d0ed21ee1ca4ed916bfacd32ce5481cc11b8d86e3496dfe57f6e7d,afa61ce71bd5f98668b702a6f03cd89d06a7dfefabeb3b083f44e548e721982f
unfiltered_syn,unfiltered_syn,true,,pcb1,42,m18_unfiltered_syn_pcb1_seed42,afa47d8d4bfd354df953a9febcc17c1ef529b803b469c955155cbf462ddce3b9,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,1112,612,500,10,500,442,0.2490289483327226,0.5708905601905749,0.932390956881369,0.6065337271823633,1.01470947265625,232.1295372139998,d72763d29bd5f40d12001bddd62bc40e90434fac058d71ec6ec2029c92330305,aede13f3c7f09d5941a2a166b15bc4d27a29ec8c579df039f5eaf263df7e74bd
filtered_syn,filtered_syn,true,,pcb1,42,m18_filtered_syn_pcb1_seed42,e53e0afceeff2fddb35e29b0bdb5f144c5ae048799e76d257e8c378ba0cd25f0,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,1112,612,500,10,500,442,0.06214317711758595,0.5156093659637621,0.9010364592753061,0.7470872439177954,1.01470947265625,231.55528667700037,ce0fd47f6e4d2653876daf38f5412b9acc96106722cb00b701a6c3d85fb57346,022d4a3965c16066d5662ca9263b94326f5b1d0a115dd4b3c1ca983c2e1cdfdf
full_real,full_real,true,,pcb1,42,m18_full_real_pcb1_seed42,38246c0a96c0a12c2a8855beee0938347387e69f73f2bea14fb20f8d290d341f,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,662,662,0,60,0,442,0.6862354114128204,0.7610328141837459,0.9295723532617873,0.599875043965242,1.01470947265625,192.8609900309998,82ee26e11e84283ae31a000bb5e11ff7f447751529d85c3088eb8f7e3b696940,afb2801d01f1f83d8d96c7013a971f3a5be189650d7ea405aa95259de94fec69
procedural_only,procedural_only,true,,pcb1,42,m18_procedural_only_pcb1_seed42,397b5f985f13921038fb409f3717b42a72b758edab2c1a80b410368f1190545d,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,1102,602,500,0,500,442,0.03157825050754701,0.5076424547393283,0.8550925544322173,0.5963189670345592,1.01470947265625,233.59448065100014,192507067828cff6e06ecc6b7334ac612b2d2ee22d43351385b0ee467dec1bd8,44cc12182fbf9800419658fe2d342835e658c5a5f4e4dc416c920b2e73f107ee
copypaste_only,copypaste_only,true,,pcb1,42,m18_copypaste_only_pcb1_seed42,66a3e0c0b2dc7045591efa7a9e1d90c6ad18e68062a1215291630fd35f0e2d00,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,1112,612,500,10,500,442,0.0,0.4997431379637567,0.9014626386042132,0.43864891141393525,1.01470947265625,232.81942690699998,142aa72e36e84f405b93ab8f2859a145576c3caafd52990fc0a0e381d08c1699,2f5c75d52f383f40e8152385d1f2b4226b95fc6c1db01f6613d5bacd1790cb26
diffusion_only,diffusion_only,true,,pcb1,42,m18_diffusion_only_pcb1_seed42,b1b723847dee347a11bfed70021a54856dc1142fb832ffafc1d674eb00dfdbda,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,1112,612,500,10,500,442,0.0,0.4997431379637567,0.8288060077775325,0.4555946723723677,1.01470947265625,235.57276367799977,44aa654c02cce6df2190cb4efd98d3fa77c3980924985600b8fa673e70835197,df31b21f97cbf015d563ec56c3335fd63c2c9c1e66c7a41d4c233933129ac1d1
all_mixed,filtered_syn,false,filtered_syn,pcb1,42,m18_filtered_syn_pcb1_seed42,e53e0afceeff2fddb35e29b0bdb5f144c5ae048799e76d257e8c378ba0cd25f0,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,1112,612,500,10,500,442,0.06214317711758595,0.5156093659637621,0.9010364592753061,0.7470872439177954,1.01470947265625,231.55528667700037,ce0fd47f6e4d2653876daf38f5412b9acc96106722cb00b701a6c3d85fb57346,022d4a3965c16066d5662ca9263b94326f5b1d0a115dd4b3c1ca983c2e1cdfdf
real_only,real_only,true,,pcb1,43,m18_real_only_pcb1_seed43,152cd21149d44bdd09913ee536c274eef01add9bf27e04ddfdc3109811124377,segformer_b0,489d5cd81a0b59fab9b7ea758d3548ebe99677da,512,500,4,6e-05,0.01,612,612,0,10,0,442,0.2788222867705308,0.5807617998824586,0.901663589365637,0.5744698579240182,1.01470947265625,197.24491490299988,1bdcc16c93c6787b9bc19c54d756264618cf0910b45cc642bda1541a2a58aaf5,6e7e09cc95b665a185089ce4ce84b1982b5f9db77dba4eda34b905bd0f708334
